index,person_id,id,name,role
478,529468,tm156453,Francine Parker,DIRECTOR
479,553375,tm27298,Ahmad Mazhar,ACTOR
480,225932,tm27298,Nadia Lotfi,ACTOR
481,215296,tm27298,Salah Zulfikar,ACTOR
482,558944,tm27298,Leila Fawzi,ACTOR
483,520600,tm27298,Hamdy Gheith,ACTOR
484,381250,tm27298,Laila Taher,ACTOR
485,471620,tm27298,Omar El-Hariri,ACTOR
486,152472,tm27298,Husain Reyadh,ACTOR
487,530826,tm27298,Mahmoud el-Meliguy,ACTOR
488,576037,tm27298,Zaki Toleimat,ACTOR
489,498370,tm27298,Tewfik El Dekn,ACTOR
490,899933,tm27298,Mohamed Hamdy,ACTOR
491,1533795,tm27298,Mohamed Sultan,ACTOR
492,1533801,tm27298,Mohamed Abdel Gawad,ACTOR
493,1533807,tm27298,Sami Loutfi,ACTOR
494,2172269,tm27298,Ibrahim Emara,ACTOR
495,546021,tm27298,Ahmed Louxor,ACTOR
496,500657,tm27298,Salah Nazmi,ACTOR
497,173191,tm27298,Youssef Chahine,DIRECTOR
498,173252,tm356209,Shammi Kapoor,ACTOR
499,150319,tm356209,Padmini,ACTOR
500,550685,tm356209,Maria Menado,ACTOR
501,132270,tm356209,Shashikala,ACTOR
502,222315,tm356209,Agha,ACTOR
503,222342,tm356209,Shakti Samanta,DIRECTOR
504,15793,tm204541,Omar Sharif,ACTOR
505,225931,tm204541,Faten Hamamah,ACTOR
506,225933,tm204541,Ahmed Ramzy,ACTOR
507,498370,tm204541,Tewfik El Dekn,ACTOR
508,560735,tm204541,Ferdoos Mohammed,ACTOR
509,152472,tm204541,Husain Reyadh,ACTOR
510,173191,tm204541,Youssef Chahine,DIRECTOR
511,173189,tm14350,Farid Shawqi,ACTOR
512,530826,tm14350,Mahmoud el-Meliguy,ACTOR
513,216804,tm14350,Ezzat El Alaili,ACTOR
514,538123,tm14350,Youssef Wahby,ACTOR
515,537218,tm14350,Yehia Chahine,ACTOR
516,558944,tm14350,Leila Fawzi,ACTOR
517,745894,tm14350,Akela Kateb,ACTOR
518,1326853,tm14350,Zeinab Sedky,ACTOR
519,493971,tm14350,Ahmad Abdel Waress,ACTOR
520,479007,tm14350,Abdel Aziz Makhyoun,ACTOR
521,745892,tm14350,Ahmed Mehrez,ACTOR
522,540702,tm14350,Abdel Warith Assir,ACTOR
523,745900,tm14350,Aida Kamel,ACTOR
524,745891,tm14350,Oussaida Abbass,ACTOR
525,536986,tm14350,Zouzou Hamdy El-Hakim,ACTOR
526,745890,tm14350,Abdel Salam Mohamed,ACTOR
527,745889,tm14350,Halima El Soghayar,ACTOR
528,745888,tm14350,Samira Mohamed,ACTOR
529,745887,tm14350,Abou Hachich,ACTOR
530,745886,tm14350,Gamil El Traboulsi,ACTOR
531,223449,tm14350,Ahmad Zaki,ACTOR
532,323651,tm14350,Ahmad Bedir,ACTOR
533,530275,tm14350,Naglaa Fathy,ACTOR
534,452580,tm14350,Abdalla Mahmoud,ACTOR
535,1113158,tm14350,Mohsena Tawfik,ACTOR
536,740561,tm14350,Seif Abdelrahman,ACTOR
537,173191,tm14350,Youssef Chahine,DIRECTOR
538,564029,tm102287,Negma Ibrahim,ACTOR
539,536986,tm102287,Zouzou Hamdy El-Hakim,ACTOR
540,173189,tm102287,Farid Shawqi,ACTOR
541,562894,tm102287,Anwar Wagdi,ACTOR
542,225934,tm102287,Shukri Sarhan,ACTOR
543,528719,tm102287,Samira Ahmed,ACTOR
544,553401,tm102287,Berlanty Abdel Hamid,ACTOR
545,1320827,tm102287,Motawea Oweis,ACTOR
546,1330827,tm102287,Malak Elgamal,ACTOR
547,1321780,tm102287,Saeed Khalil,ACTOR
548,568098,tm102287,Reyad El Kasabgy,ACTOR
549,216805,tm102287,Salah Abu Seif,DIRECTOR
550,223449,tm76557,Ahmad Zaki,ACTOR
551,223448,tm76557,Saeed Saleh,ACTOR
552,223450,tm76557,Younes Shalaby,ACTOR
553,198741,tm76557,Hassan Mostafa,ACTOR
554,513684,tm76557,Nadia Shukry,ACTOR
555,1410282,tm76557,Karima Mokhtar,ACTOR
556,2317355,tm76557,Gumball Williams,ACTOR
557,752913,tm76557,Samir Al Asfory,DIRECTOR
